posted_date,skills,job_name,job_type,company_name,description,ld_link
2020-07-28,"['C', 'Excel', 'Go', 'J2EE', 'Java', 'REST', 'XML']",SmartComm Developer,"Part-time, Contract",KBS,"SmartCOMM DeveloperRemote6-12 Months Required Skill sets: Proficient in SMART Communications (Thunderhead Suits of Products) - Advanced Template Designer (Business Content Studio and Admin), Data Modeler (Business Object Studio), Review Now, Interview Now and DashboardExtensive experience in integrating SMART communication's REST API calls with Upstream systems- Guidewire for Policy, Billing and Claims Center applications and downstream document storage systems and print solution for printing and mailingP&C Insurance Domain KnowledgeJob Description: We are looking for highly motivated SmartCOMM developers for insurance applications (Policy and Claim). Ideal candidates should have excellent CCM development experience with strong interpersonal/communication skills. In this role you will directly design and develop solutions using SmartCOMMQualification: 3+ years using SmartCOMMStrong understanding of SmartCOMM or Thunderhead concepts & developmentSound knowledge of SMARTCOMM(Thunderhead) Suits of Products – Advanced Template Designer (Business Content Studio and Admin), Data Modeler (Business Object Studio), Review Now, Interview Now and DashboardSound knowledge about SmartCOMM Modules - Data Modeler, Advanced Template Designer and Web EditorSound knowledge of Smart Communications Appliance Configuration and Deployment Models (Cloud/Hybrid)Sound knowledge in generating Interactive communications (Draft Editor, Data Capture, ipdf's)Good knowledge about Thunderhead/Smart Communication API'sShould be well versed with preparation of the XML data schema and their mapping to business data objectsAuthoring business templates as per the business requirementsConsolidating form templates, recognizing common graphical elements, information blocks, layouts, variable data requirements, functional similarity and multilingualDeveloping and documenting forms designs and form specifications, including form usage and derivation rules, data mapping, variable logic, templates, styles, layout etc.Should be well versed in creation of Static Layouts for Print and Responsive Layouts for WebTechnical knowledge in creating Simple, Scriptable Batch Config/Template Selector and Output Configurations for post processingExpertise on Java/J2EE, JSON, Web services is desirableExperience on any other CCM tool is desirableJob Types: Part-time, ContractExperience:software development: 1 year (Preferred)Education:High school or equivalent (Preferred)Work authorization:United States (Preferred)",https://www.learningdollars.com/client/select_engineers/?crid=2008
2020-07-15,"['ARM', 'Agile', 'Angular', 'Bootstrap', 'C', 'CSS', 'Excel', 'Git', 'Go', 'HTML', 'JIRA', 'Java', 'JavaScript', 'jQuery']",Front End Developer/UI Developer,"Full-time, Part-time, Contract",PharmD Live,"Location: Remote
Schedule: Flexible
We're looking for smart, dedicated, and entrepreneurial individuals with mobile development skills who want to learn and work in a team. We want people who are a pleasure to work with.
The Front End Developer/Software Development/UI Developer will design, code, test and analyze software programs and applications. This includes researching, designing, documenting and modifying software specifications throughout the SDLC.
3+ years related experience
Experience in Angular, 2+ preferred
Mobile- IOS and Android 1 year (Required)
Strong understanding of web development technologies and frameworks, including HTML5, Bootstrap, and CSS
Good understanding of client-side scripting and JavaScript frameworks (including Jquery)
Knowledge and experience of working on responsive web design
Create mockups, wireframes, and layouts that promote ease of use and optimize how users interact with new features
Knowledge of JIRA, GitHub and slack
Familiar with change management, defect management, and release management process
Experience as part of an Agile team
Excellent written and oral communication skills

Job Types: Full-time, Part-time, Contract


Company Description:

We partner with physicians, accountable care organizations, post-acute care facilities and hospitals to deliver turnkey care management, including chronic care management services, to Medicare and Medicaid beneficiaries. Our board-certified pharmacists utilize our innovative, HIPAA-compliant software solution to improve clinical and financial outcomes.",https://www.learningdollars.com/client/select_engineers/?crid=1972
2020-07-28,"['C', 'Chai', 'Go', 'Linux', 'Perl', 'REST', 'SQL', 'Windows']",WMS Software Engineer,"Part-time, Contract",KBS,"WMS Software Engineer6+ MonthRemote role (A little bit of travel involved) Must live in the EST zone)They travel down to their Distribution Center for a week once every month or every two months.Lowes will pay for their travel or reimburse them for travel.Required Skills: 3-5 years of experience in this fieldAPI integration experienceDevelop these integrations with JDA WMS to run the facilitiesStrong technical WMS candidatesProgramming/Scripting TechnologiesMicrosoft OS, AS, Linux, MOCA, batch, Pearl, SQL (intermediate) Linux preferredTechnical integrations layers and technologiesBusiness Knowledge of Distribution ConceptsInbound Processing and outbound processing experience(Deploying newest version of JDA WMS) Would prefer someone who has an understanding of the latest version but won't be opposed to an older versionIntegration Technologies (Restful API, JSON Messaging)Required SkillsKnowledge of JDA WMS, Moca programming scripting, warehouse management processing, setting and management configurations within a warehouse.Technical Knowledge (5-7 years’ experience)Basic knowledge of Windows \ AIX \ LinuxHow to navigate directories and view filesProgramming \ ScriptingMOCA, Batch, ksh, csh, etc…Perl, VB, c languagesSQL knowledgeIntermediate to Advanced competencyUnderstanding of typical integration layers \ technologiesAbility to research and complete root cause analysisBusiness Knowledge (5-7 years’ experience)Basic understanding of supply chain conceptsIntermediate understanding of distribution conceptsIntimate working knowledge of warehouse management processesInbound ProcessingOutbound ProcessingInventory ManagementLeadership Skills (2-3 years’ experience)Leading teams (internal and external resources)Managing assignmentsLeading meetings with business users \ managersWorking with 3rd party vendorsDriving resolution of reported issuesOrganizational and work management skillsResolve production issuesWork with the business on maintenance and enhancementsOversee design and quality of changesManage work for the teamDevelop a strong relationship with Bangalore team members to maximizeJob Types: Part-time, Contract",https://www.learningdollars.com/client/select_engineers/?crid=2009
2020-07-17,"['AWS', 'Agile', 'Angular', 'C', 'Continuous Integration', 'DevOps', 'Java', 'Nodejs', 'Perl', 'REST', 'React', 'SSIS', 'Scala', 'Spring']",Node.js Backend Developer," -  Full-time, Contract",ComTec Information Systems,"We are looking for Node.js Backend Developer. Please find the details below and let me know your interest.Title:  Node.js Backend DeveloperLocation:  REMOTEDuration: 6 months Possible FTE Conversion_______________________________Develops guidelines for other software engineers that helps them build and implement code that is scalable, stable and secure.Acts as a hands-on software engineer who can write quality code, assists with problem solving, root cause analysis, trouble shooting and coaching.Understands big picture from a business standpoint within the context of the application.Writes technical blogs and be active in Open Source Community. Agile, DevOPS and Cloud: Applies Design Thinking techniques on application design. Leads agile software development efforts as a Technical Leader. Coaches other software engineers on practices such as TDD, ATDD and pair programming. Understands advanced concepts of Containers, Micro-Services, Continuous Delivery and Continuous integration, and guide the team to setup a DevOps environment for the applications they build and support. Designs and develops highly scalable applications in AWS cloud using tools like Cloud Formation Templates, EC2, SWF, ELB, Lambda, S3, RDS/Dynamo DB and others. Reviews and takes actions based on application metrics, including but not limited to code quality, business metrics and performance metrics. Creates load and performance testing strategy and perform advanced performance tuning.RESPONSIBILITIES:7+ years related experience including a minimum of 3+ years of designing, building and maintaining high quality, secure software in IT. Critical thinker. Demonstrated problem solving techniques. Strong verbal and written communication skills.WORK EXPERIENCE: IT 7+ years; Software Development 3+ yearsEDUCATION: Bachelors: Computer and Information Science (Preferred)Notes : Remote- Eastern Time zone preferred. 8:30am to 5pm – some flexibility if needed. Possible FTE Conversion. Have knowledge in Spring boot java, API Gateway, OKTA integration, Writing test with J- unit, Nodes , Angular processes. AWS certification preferred. Must answer via video and provide link on resume.Job Types: Full-time, ContractPay: $55.00 - $62.00 per hourExperience:Spring boot java: 4 years (Preferred)node js Backend development: 5 years (Preferred)API Gateway: 4 years (Preferred)",
2020-07-28,"['C', 'CSS', 'Drupal', 'Git', 'HTML', 'Java', 'JavaScript', 'Sass', 'Security', 'UNIX', 'Wordpress', 'jQuery']",Web Developer *Only W2*, -  Contract,Origin to Future,"Core DutiesDesign, implement, and manage web-based applications, databases, and interfaces from initial design and architecture through development, test, and deployment.Perform web platform analytics; identify and work in collaboration with departments and units to resolve strategic and university-wide problems.Mentor, oversee, and check the work of other staff on technical matters. Conduct security reviews of applications written by other developers.Research, evaluate, and enforce web standards for usability and accessibility. Develop and enforce Stanford programming and application design standards.Other duties as assigned.We’re looking for candidates with deep expertise in:Developing websites using Drupal and WordPress and related languages, libraries, and standards-compliant code.Understanding Drupal and WordPress architecture and experience in building and maintaining custom modules and plug-ins.Experience in a collaborative workflow using development/stage/production environments, code reviews, and Git/GitHub or similar.Experience in test automation and continuous delivery.Experience with HTML5, JavaScript, jQuery, CSS, and SASS/Compass.Familiarity with browser devices and platform differences and idiosyncrasies, and ability to develop workarounds to accommodate specialized user/client needs and device platforms.Demonstrated ability to write, compile, test, debug, and deploy software on UNIX-like platforms and web servers.Knowledge of web analytics tools and related analyses.Ability to design and manage relational databases.Ability to design and implement web services.Ability to interact positively with and build consensus among a diverse group of colleagues, clients, and senior leadership.Job Type: ContractSalary: $35.00 - $40.00 per hourExperience:WordPress : 2 years (Preferred)Web Development: 4 years (Preferred)Drupal : 2 years (Preferred)Work Remotely:Yes",https://www.learningdollars.com/client/select_engineers/?crid=2011
30+ days ago,"['AWS', 'C', 'Excel', 'ExpressJS', 'Go', 'GraphQL', 'Java', 'JavaScript', 'REST', 'React', 'Security', 'Terraform']","Full Stack Developer for clinical research (ReactJS, ExpressJS, AWS)"," -  Full-time, Contract",arc.dev,"About ArcWe believe you don't have to live in a tech hub to do great work!Great talent is global, but for most companies, hiring is still local. We take the friction out of the remote hiring experience, enabling companies to simplify their hiring process and find previously untapped developers. We want to empower talent around the world to land great opportunities.About our clientThe client s a distributed CRO and technology, enabling remote clinical research. Their approach accelerates clinical trials by enrolling patients at home and allowing them to participate in studies online and with local healthcare providers. Their mission is to radically shorten timelines to bring new treatments to the market and improve patient's lives.About the projectAs an early hire, you'll play a critical role in planning and building the future of the company.You will:Develop new features for their patient, doctor, and research usersCollaborate directly with their health system and biomedical partnersEnsure excellent security, user privacy, and regulatory complianceMake critical decisions about architecture and technology selectionTech Skills / Requirements: Tech stack: Javascript, React.js, Flowtype, Express.js, GraphQL/Apollo, and AWS/Terraform.Good to have:Track record of pursuing engineering excellence at every opportunityInterest in healthcare, experience building quality web applications, and experience in one of the current skill gaps (infrastructure, data reporting/business intelligence, database management)Additional Information: U.S. based developer (mandatory)Annual salary range: $60,000-$100,000 (depending on technical level after technical evaluation)Please, apply ONLY if your profile meets the requirements. The CVs that don't apply, will be automatically dismissed.Job Types: Full-time, ContractSalary: $60,000.00 to $100,000.00 /yearExperience:ExpressJS: 2 years (Required)AWS / Terraform (IaC): 2 years (Preferred)GraphQL/Apollo: 2 years (Preferred)Javascript, ReactJS: 4 years (Required)Application Question:Let us know your desired annual salary and your current city of residence.Work Remotely:Yes",https://www.learningdollars.com/client/select_engineers/?crid=2012
2020-07-02,"['Agile', 'C', 'JIRA', 'Java', 'Python']",Jr.Python developer on W2," -  Full-time, Contract",Kree,"Job Tittle: Jr.Python developerNote: First preferences to freshers And only on W2 And OPt candidates Only.Roles And Responsibilities: 2+ years of hands-on object oriented software development experience (minimum requirement)2+ years of hands-on Python experience (minimum requirement)Experience working in an Agile Reference Data development environment with use of Jira (highly desirable)Previous experience with Quartz platform (desirable)Background in Markets Reference Data Platforms; performing automation and development specific to Reference Data platforms (desirable)Familiarity with Semantic Web (RDF) and Sparql (desirable)Experience with distributed computing (desirable)Strong problem-solving and communication skills; enjoys a collaborative environmentFlexible, self-starter & independent, fast-learner; willing and able to quickly learn new technologies and skills; desire to understand not only what to do but also whyJob Types: Full-time, ContractSalary: $65,000.00 - $70,000.00 per yearExperience:java: 1 year (Preferred)Education:High school or equivalent (Preferred)Work authorization:United States (Preferred)Work Remotely:Temporarily due to COVID-19",https://www.learningdollars.com/client/select_engineers/?crid=2013
30+ days ago,"['.NET', 'Agile', 'C', 'Git', 'Kubernetes', 'Linux', 'OpenShift', 'SAP', 'Scala']",Jr Agile Developer,"Full-time, Contract","LingaTech, Inc","Jr Agile Developer
Member of an agile software engineer team responsible for building scalable software applications across all digital channels to serve our customers. Responsible for taking an enterprise-wide, architectural view of the solutions and the technical execution of products using the technical stack that best meets the needs of the platform. The team will be involved in every aspect at part of the software application build process from idea generation, business analysis, technical design and software development using the latest technologies and design patterns.
Experience Needed:
Experience working with container technologies (Kubernetes)
Experience with various Kubernetes platforms (OpenShift)
Extensive experience working with cloud technologies and cloud automation tools
Experience with Linux system administration; experience with Red Hat Enterprise Linux
Additional Information :
Length of contract: 6 months (potential contract to hire after that)
Location: Work from home (No Onsite Requirement)
Start Date - ASAP",https://www.learningdollars.com/client/select_engineers/?crid=2014
2020-06-29,"['.NET', 'C', 'CSS', 'Excel', 'HTML', 'Java', 'JavaScript']",Jr. Java Developer only on W2," -  Full-time, Contract",Kree,"Job DescriptionJob Title: DeveloperDuration: 12 Months ContractNote: First Preference to freshersNote: Only W2 And Opt ,cpt , H4 ,L2 candidates OnlyJob Description: Roles and Responsibilities : Support the IT team on projectsOrganize and maintain IT resources, as needed.Required skills : Masters in Computer Science or Information TechnologyMinimum GPA of 3.0Familiar with HTML, CSS, Java and JavascriptStrong verbal and written communicationExcellent analytical and problem-solving skillsAbility to work well in teamsStrong work ethic and attention to detailBenefits for Freshers : On-Job Training and Mentoring from SeniorsGain hands-on experience in an IT positionShadowing and training experiences with knowledgeable professionalsOpportunity to attend networking events and company meetingsFlexible schedule for studentsCompensation availableJob Types: Full-time, ContractSalary: $60,000.00 - $70,000.00 per year",https://www.learningdollars.com/client/select_engineers/?crid=2015
2020-07-28,"['Agile', 'Angular', 'C', 'Postgres', 'Ruby', 'Ruby on rails', 'SQL']",Ruby on Rails / ROR Developer,Contract,Network Objects,"Ruby on Rails, Angular, PostgreSQL/RDS, Agile, Apache Solr· Programmer proficient programmer and competence in technical design capabilities· Providing multiple solutions for a given technical problem along with recommendation of the better technology solution· Strong technical decision making capabilities· Competent estimation and planning efforts for the sprint and projectJob Type: Contract",https://www.learningdollars.com/client/select_engineers/?crid=2016
30+ days ago,"['.NET', 'C', 'Go', 'Photoshop', 'SEO', 'SQL', 'XML']",Cold Fusion - Developer,Contract,Gantzer Group,"Employment Type Contract

Skills Cold Fusion, XML, Web 2.0, SQL Server, Photoshop, SEO

Experience 3+ years

Education B.A. / B.S. preferred

Location Remote Contract

THE OPPORTUNITY
Developer needed for ongoing projects in the action sports industry where you will develop leading edge applications and data services.
EXPERIENCE/EDUCATION
Minimum 3 years of ColdFusion experience
Strong background in content management, XML, Web 2.0, and database technologies
SEO background preferred
SKILLS/CHARACTERISTICS
Strong communications skills
Ability to consistently deliver on time and on budget
Self-motivated, detail-oriented and can work independently.
COMPENSATION
Commensurate with experience.
How to Apply
To be considered for this position, please send a resume to info@gantzer.net along with a cover letter describing how your past experience meets the qualifications.",https://www.learningdollars.com/client/select_engineers/?crid=1973
