posted_date,technologies,job_name,company,job_type,experience_level,role,industry,company_size,company_type,ld_link,description
2020-07-15,"['spring', 'hibernate', 'jakarta-ee', 'extjs', 'angular']","Java (J2ee), ExtJS, Angular 7/8, Spring Hibernate, HTML & CSS (Senior, Remote)",TopDevz,Contract,Senior,"Backend Developer, Frontend Developer",Agile Software Development,51–200 people,Private,https://www.learningdollars.com/client/select_engineers/?crid=2222,"
We are looking for an experienced, senior, Software Engineer/Developer, who is excited to work on one of our many client projects - both greenfield (new) projects as well as legacy (support) projects in that technology stack. This is a remote position.  Skills & Requirements 

Very experienced (5+ Years) in Software/App Development 
Experienced in Java (J2ee) 
Experienced in ExtJS 
Experienced in Angular 7/8
Experienced in Spring 
Experienced in Hibernate 
Experienced in HTML & CSS 
Good analytical skills, innovative and detail-oriented
Good written and verbal communication skills
Good problem solving skills
Significant attention to detail when writing code, including good commenting and code documentation skills
 "
2020-07-10,"['bigdata', 'apache-kafka', 'apache-spark', 'cassandra', 'java']",Backend Data Engineer - Remote,Numbrs,Contract,"Mid-Level, Senior",Backend Developer,Finance,51–200 people,Not mentioned,https://www.learningdollars.com/client/select_engineers/?crid=1984,"
Numbrs Personal Finance AG is a technology company. Our product is Numbrs, a multibanking application available for iOS and Android. Numbrs is one of the most widely used banking apps in Germany and was recently launched in the UK.
Numbrs is reshaping the future of the workplace. We are a fully remote company, at which every employee is free to live and work wherever they want. Numbrs was founded with the vision to revolutionise banking. Therefore from day one Numbrs has always been a technology company, which is driven by a strong entrepreneurial spirit and the urge to innovate. We live and embrace technology.At Numbrs, our Engineers don’t just develop things – we have an impact. We change the way how people are managing their finances by building the best products and services for our users. 
Numbrs engineers are innovators, problem-solvers, and hard-workers who are building solutions in big data, mobile technology and much more. We look for professional, highly skilled engineers who evolve, adapt to change and thrive in a fast-paced, value-driven environment.Join our dedicated technology team that builds massively scalable systems, designs low latency architecture solutions and leverages machine learning technology to turn financial data into action. Want to push the limit of personal finance management? Join Numbrs.
Job Description
You will be a part of a team that is responsible for developing, releasing, monitoring and troubleshooting our BI environment. You enjoy learning new things and are passionate about developing new features, maintaining existing code, fixing bugs, and contributing to overall system design. You are a great teammate who thrives in a dynamic environment with rapidly changing priorities.
All candidates will have

Bachelor's or higher degree in computer science or equivalent work experience
a minimum of three years of software engineering experience
excellent knowledge with Scala or Java
expert knowledge in an enterprise-class RDBMS
demonstrated ability in data modelling, ETL development, and data warehousing
experience with big data technologies, such as Kafka, Spark, and Cassandra
excellent troubleshooting and creative problem-solving abilities and analytical skills
excellent written and oral communication and interpersonal skills

Ideally, candidates will also have

experience with systems for automating deployment, scaling, and management of containerised applications, such as Kubernetes and Mesos
experience with machine learning
experience with encryption and cryptography standards

Location: Remote "
2020-07-01,"['angularjs', 'javascript', 'mobile', 'css', 'ionic-framework']",Mobile Application Software Developer,Ultimate Software,Contract,"Junior, Mid-Level",Mobile Developer,"Computer Software, Human Resources, Software Development",10k+ people,Private,https://www.learningdollars.com/client/select_engineers/?crid=2223,"
Job Summary:

Design, develop and maintain enterprise web and mobile applications for tablets and phones
Work with our UX team to create amazing end-user experiences on our mobile applications
Integrate customer feedback into our mobile applications

Primary/Essential Duties and Key Responsibilities:

Design, develop and maintain enterprise web and mobile applications for tablets and phones
Work with our UX team to create amazing end-user experiences on our mobile applications
Integrate customer feedback into our mobile applications

Required Qualifications:

Min. 2+ years working experience with modern JavaScript: ES6, TypeScript, SCSS and CSS Frameworks, Angular, NgRx, Build Tools like Gulp and/or Webpack; Ionic would be a plus.
Min. 2+ years working experience using Java


Comprehensive knowledge of modern JavaScript: ES6, TypeScript, SCSS and CSS Frameworks, Angular, NgRx, Build Tools like Gulp and/or Webpack; Ionic would be a plus.
Working experience using Java
Strong use of source code repositories. Proficiency with tools including: Git, TeamCity, Concourse


University degree in Computer Science or Engineering; equivalent experience accepted

Preferred Qualifications:

Experience using automation testing tools (Selenium, xUnit, mocking frameworks)
Strong debugging and problem-solving skills
Working experience using SQL
Passion for cutting edge mobile technologies
Clear communicator who works well in a team setting

Travel Requirements: 10% or less
Check out how we give our employees the chance to work on whatever project they want for 48 hours! https://youtu.be/2Aw55CP1IO8  ;
Typical Interview Process:

If your application is selected, a Talent Acquisition Team Member will reach out to schedule a phone screen with them.
If selected to move forward, you will complete a HackerRank Coding Assessment.
If you pass, you will either move forward to a technical phone call for an additional screening, OR directly to an onsite interview.
Offer stage.
 "
2020-06-29,['kofax'],Kofax Software Engineer (REMOTE),Carex Consulting Group,Contract,"Mid-Level, Senior",Not mentioned,"Heathcare Staffing, Technology Staffing",51–200 people,Private,Not Found,"
Our Partner in Madison, WI is seeking a Kofax KTA Software Engineer for a contract role – which has potential to become a permanent position! In this role, you’ll join a small dev team at a large Insurance Company headquartered in Wisconsin – however this role is open to full time remote (inc post-Covid).
Responsibilities include supporting/maintaining the current system, and well as building/configuring additional functionality to automate additional recognition, work-flow, and integration use cases. Additionally, an immediate task will be to upgrade KTA from version 7.4 to 7.7. The primary focus of this role is to work with KTA. Additional assignments within the ECM realm are possible.
A qualified candidate will be proficient with:

KTA installation and configuration;
KTA development;
Kofax Analytics;
C#.net;
SQL Server;
ability to effectively work with others and share knowledge.

Certification in KTA Essentials is highly desired. "
2020-07-13,"['sitecore', 'javascript', 'css', 'html', 'sitecore-mvc']","Senior SITECORE Developer/Engineer (Senior, Remote)",TopDevz,Contract,Senior,Not mentioned,Agile Software Development,51–200 people,Private,https://www.learningdollars.com/client/select_engineers/?crid=2224,"
We are looking for an experienced, senior, Software Developer/Engineer, who is excited to work on one of our many client projects - both greenfield (new) projects as well as legacy (support) projects in that technology stack. This is a remote position. Skills & Requirements The following skills are required: 

Very experienced (5+ Years) in Software/App Development
Very experienced (5+ Years) in Sitecore
Experience designing and building business and data layers and functional libraries
Experience with creating and consuming web services.
Understanding of object-oriented design and development
Knowledge of agile principles – scrum, backlog, etc.
Base knowledge of HTML, CSS and Javascript concepts
Good analytical skills, innovative and detail-oriented
Good written and verbal communication skills
Significant attention to detail when writing code, including good commenting and code documentation skills
 "
2020-07-16,"['amazon-web-services', 'node.js', 'kubernetes', 'docker', 'terraform']",Site Reliability Engineer (US),NearForm,Contract,Senior,"DevOps, System Administrator","Software Consulting, Software Development / Engineering, Web Technology",51–200 people,Private,https://www.learningdollars.com/client/select_engineers/?crid=2225,"
What will your day look like?
Turn on your monitor and join the hangout for your daily standup. There are some GitHub pull requests that need your attention, time to put your Ansible hat on. Lunchtime - you go and get some fresh air and grab some lunch when you get back to your desk, your Terraform environment has finished provisioning and you kick off some smoke tests. Then it’s back to your earlier automation work. Before you know it, it’s time to close the laptop.
What will you be doing?
Help our enterprise clients translate their needs into functional and appealing interactive applications. Responsible for infrastructure and deployment of these applications, and rotating 24*7 support for existing clients and products.
Join a highly-skilled multidisciplinary team; typically consisting of designers, front-end and back-end experts, DevOps engineers, and also members of the client team. This mix follows a modern agile development methodology where we run 2-week sprints with a defined backlog, daily stand-ups, weekly demos, sprint planning and sprint retros; all with as little ceremony as necessary.
Key responsibilities and accountabilities:

Working with and supporting Delivery Architect (Team Lead) in project execution and timely delivery
Member of the NearForm SRE team, providing out-of-hours support for NearForm products and clients
Work proactively to identify and address performance and operational issues.
Assisting with the analysis of client requirements.
Contributing to NearForm tooling and open source projects in a DevOps capacity as required. 
Understanding and embracing the NearForm culture.

What do we ask of you?

6+ years experience developing at an enterprise level
Modern DevOps mindset using best of breed open-source tools and technologies, for example, Terraform
Experience working with containers and container orchestration must include Kubernetes
Experience managing and automating real-world platforms/applications on AWS 
CI, Git, Docker, ECS Fargate, Lambda, Cloudwatch and monitoring tools in general, Node.js, Kubernetes 
Experience with Continuous Integration and the building of continuous delivery pipelines
Security awareness throughout the stack
Data storage experience with RDBMS and NoSQL technologies
Experience working in a Remote Agile environment
Located in USA
Availability for short-term travel as required
Available to work extended hours if required and have a flexible schedule when home
Fluent English and outstanding communication skills (written and oral)

What will you get?

Work/Life balance: we have a genuine dedication to work/life balance. 
Family-friendly: we understand how important family is, so our flexible environment allows you to work around what matters - school run, no problem! 
The Wellness Hub: we offer resources and support and have a genuine commitment to fostering/improving NearFormer’s wellbeing.
Knowledge perks: explore new hobbies, brush up on life skills or simply learn something new, there is something there for everyone.  

Why do you want to join the team?
We adopt a person-first approach to hiring. That means we hire the best people – it’s as simple as that. Our lucky HR team gets to pick the cream of the crop from around the world and has brought together a collection of dynamic and talented individuals we like to call ‘NearFormers’.
Although we are widely dispersed, NearFormers are a tightly-knit team. We trust one another and care about our colleagues. Building on our open-source origins, we promote the sharing of thoughts, knowledge and ideas.
NearForm is committed to shaping a better world in all that we do. Our global team is built based on respect, inclusivity, diversity and excellence. "
2020-07-24,"['javascript', 'shopify', 'reactjs', 'liquid', 'html']",Remote Shopify Developer,Bluebolt,Contract,"Mid-Level, Senior","Backend Developer, Frontend Developer, Full Stack Developer","eCommerce, E-Commerce, Enterprise Web Solutions",11–50 people,Private,https://www.learningdollars.com/client/select_engineers/?crid=2226,"
BlueBolt is seeking out Shopify developers to expand our growing Shopify practice in our Chicago, IL, Denver, CO and Duluth, MN offices or from the comfort of your own home. Our ideal candidate will be experienced in front-end web development and familiar with Shopify development. We are open to all levels of experience with Shopify and are willing to train.
BlueBolt offers outstanding benefits, including 20 days of PTO, 401k matching, profile sharing, and much more. Our positions are professional grade and career track oriented. If full time isn't your thing this position can also be contract based and part time.
Responsibilities

Develop Shopify applications based on requirements and technical specifications.
Implement Shopify applications from the App Store.
Work with other developers to coordinate custom application development and integration into Shopify.
Operate within the dynamics of a team; exercising proper etiquette and project stewardship during all phases of development.

Skills

Strong HTML and CSS skills.
Experience using JavaScript.
Strong UI/UX skills and a keen eye for detail when creating a web interface from a design.
Previous experience working on e-commerce applications.
Demonstrate excellent verbal and written communication skills.

Nice-To-Haves

Independent, detail-oriented, and can present oneself as a good change agent when needed.
Experience as a technical analyst; namely within the Shopify universe.
Knowledge of Javascript frameworks such as React, Vue, and Angular.
Experience with source control and build management tools; preferably Git and Azure DevOps.
Experience with back-end technologies, such as the .NET framework, and best practices.

Benefits and Perks at BlueBolt

4 weeks of PTO for everyone on BlueBolt Staff
Casual Dress
Flexible Work Schedule
Great Health Coverage

Medical (BlueBolt pays 100% for staff member, 50% for dependents)
Dental (BlueBolt pays 100% for staff member, 50% for dependents)
Life/AD&D/Short-Term & Long-Term Disability (100% paid by BlueBolt)

401k with Company Matching
Intelligentsia Coffee / Premium Drink delivery
Regular Happy Hours and social events
Continuous Training, Certifications, and Learning Opportunities
Outstanding River North location + Easy commute for Pubic Transit

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. "
2020-07-11,"['java', 'javascript', 'c++']",Software Engineer - Minecraft Java Game Development,Tynker,Contract,"Mid-Level, Senior",Not mentioned,"Computer Software, Education Technology, SaaS",11–50 people,VC Funded,https://www.learningdollars.com/client/select_engineers/?crid=2227,"
Software Engineer - Minecraft Java Game Development
Tynker is looking for an experienced software developer who can extend our Minecraft modding platform that engages our primary customers - kids! You will be responsible for extending our deep integration with Minecraft, advancing our 3D editing tools, and supporting new ways for kids to learn coding in a Minecraft world. You will work with a team of talented developers building tools and frameworks used by millions of K-12 students to learn to code.
Tynker is the #1 Kids Coding platform and helps millions of students learn coding. Our self-paced courses and creativity tools guide them from block coding to JavaScript and Python. Tynker's mission is to provide every child with solid foundations in STEM, programming and critical thinking skills to prepare them to become better architects of their future world.
Primary Tasks

Create awesome Minecraft experiences for young coders
Use the Spigot API and Tynker’s internal tools to support a modding solution with Minecraft Java server hosting
Use Add-ons in conjunction with Tynker's internal web-based tools to support a modding platform for Minecraft Win 10 and Pocket PC (Bedrock)
Develop mods for both Minecraft Java and Minecraft Bedrock Editions
Maintain Tynker's 3D resource and behavior editing tools to stay up-to-date with the latest Minecraft patches and features
Invent and implement new games and mod ideas for Minecraft
Expand Tynker’s integration with all different versions of Minecraft

Requirements

BS/MS degree in Computer Science
3+ years of professional Java development, with experience in Java 8
Strong object oriented fundamentals with prior experience in Java or C++
Full grasp of HTML, CSS, JavaScript, and AJAX-based JSON/XML web services
Deep game-play knowledge of Minecraft, and what makes it fun!
Experience with modding Minecraft: Java Edition and Bedrock.
Must have built custom entities, blocks, skins, add-ons, resource and behavior packs
In-depth understanding of 3D coordinate systems (transforms, geometry, etc.)
Ability to quickly adapt and learn to work within an unfamiliar codebase
Demonstrated ability to be self-driven and work with minimal supervision
Knowledge of the Spigot API, plug-ins and Bedrock add-ons is a big plus
Knowledge of 3D modeling is a plus
Experience with textures (UV coordinates, materials, shaders, etc) is a plus

If interested, please send your resume and portfolio to jobs@tynker.com. "
2020-06-30,"['javascript', 'python', 'computer-science', 'java', 'c++']",Software Engineer - Video Curriculum Development,Tynker,Contract,"Mid-Level, Senior",Not mentioned,"Computer Software, Education Technology, SaaS",11–50 people,VC Funded,https://www.learningdollars.com/client/select_engineers/?crid=2228,"
Software Engineer - Video Curriculum Development
Tynker is looking for an experienced software engineer with lots of creative ideas! In this role, you will design, develop and maintain technical video content for Tynker's student audience who are learning to code. You will explain coding concepts in Python, JavaScript or Java and teach them how to build games, apps, and other creative projects using code. You will join a dynamic team of content developers, designer and game developers and come up with new and stimulating ways to engage young coders to get creative with code.
Tynker is the #1 Kids Coding platform and helps millions of students learn coding. Our self-paced courses and creativity tools guide them from block coding to JavaScript, Swift and and Python. Tynker's mission is to provide every child with solid foundations in STEM, programming and critical thinking skills to prepare them to become better architects of their future world.
Primary Tasks

Record 3-5 minute videos using screen-capture tools while providing clear and concise voice instructions
Create explanatory modules using markdown files and graphical multi-media content 
Publish new videos periodically to engage our student audience
Collaborate with game designers, curriculum developers and developers to maintain a steady stream of new and relevant content
Learn Tynker's curriculum which introduces technologies such as game design, robotics, Minecraft modding, visual development, programming languages, web and mobile app development, augmented reality and artificial intelligence

Requirements

3+ years of experience as an K-12 computer science teacher, training instructor, or software course developer
BS/MS degree in Computer Science
Comfortable with explaining coding concepts in one of more of the following languages: JavaScript, Python, and Java
Ability to quickly grasp technical and business concepts and explain them clearly and concisely
Experience with video capture tools such as Camtasia, Adobe Captivate, Premiere or other e-learning development tools
Ability to create simple visuals and animations to elevate the learning experience for kids
Experience with managing a library of videos on streaming services such as Youtube or Vimeo
Experience creating interactive e-learning courses and content.
Work effectively in a fast-paced environment and revise content in a structured manner

How to Apply
Please send your application to jobs@tynker.com with:

your resume
a sample video where you are explaining a Computer Science concept
your coding portfolio
 "
2020-07-27,"['swift', 'ios', 'objective-c']","iOS Developer (Swift, Objective C): Remote (United States)",Modus Create,Contract,Senior,Mobile Developer,Not mentioned,Not mentioned,Not mentioned,https://www.learningdollars.com/client/select_engineers/?crid=2229,"
Hello! Are you ready to Work from Home and transform your career?
We're looking for a Senior iOS Developer to join the Engineering team at Modus. Want to help our client’s build awesome solutions to accomplish their goals and vision? Are you interested in working from home with some of the best talent on the planet? Then keep reading.
About You
You love building great software. Your work could be supporting new feature development, migrating existing features, or integrating with APIs. You’ll have a focus on mobile development in Swift for iOS apps, knowledge of Objective-C, Ionic is also a plus. Experience with integrating with REST APIs is also desirable.
Our client’s tech stack is Swift and Ruby-on-Rails. We use modern tools, which means you’ll have the opportunity to work with software like GitHub, Slack, AWS and other cloud platforms, and much more. 
You have worked with teams before on large and demonstrable projects. You’re also familiar with building custom frameworks. You have a strong grasp of Swift and Objective-C design patterns. You’ll have an interest in Ionic and how apps can be migrated to using these technologies. You have strong experience in Swift with integration with web services, iOS authentication/authorization, XCode Interface builder, experience with Alamofire (its a HTTP library for Swift).
You understand Apple’s design principles and interface guidelines, have designed and built applications for the iOS platform working in Xcode -IDE, and have experience publishing apps to the Apple App Store as well as other public App stores. You understand Agile software development, DevOps practices, and can work closely with QA teams to optimize your code.  
You have solid experience with UIKit, CoreData, AnimationCore and CoreGraphics, the ability to write performant and correct multi-threaded code and can manage mobile development issues related to performance optimization, caching, security, and native hardware components (camera, gps, etc.).
You have familiarity with RESTful APIs to connect iOS applications to back-end services and you’ll get bonus points for having worked with a Ruby-on-Rails environment. You have experience with package managers such as Cocoapods or Carthage and with performance and memory tuning with tools. You have worked with JSON, SOAP, Rest, XML and XHTML and have knowledge of web technologies and UI/UX standards.
You relish creating high quality code from the comfort of your own home. Your engineering projects will focus on understanding customers’ needs and translating those needs from product specifications into functional, production ready code. You’ll have the opportunity to ship code daily that will be used by customers.
You love learning. Engineering is an ever-evolving world. You enjoy playing with new tech and exploring areas that you might not have experience with yet. You are self-driven, self-learner willing to share knowledge and participate actively in your community.
Having overlap with your team is critical when working in a global remote team. Modus requires all team members to overlap with EST morning hours daily. In addition, reliable high speed internet is a must.
Things You Might Do
Modus is a fast-growing, and remote-first company, so you'll likely get experience on many different projects across the organization. That said, here are some things you'll probably do:

Give back to the community via open source and blog posts
Travel and meet great people- as part of our remote-first lifestyle, it's important that we come together as needed to work together, meet each other in person and have fun together. Please keep that in mind when you apply.
Teach and be taught: Modus creates active teams that work in internal and external projects together, giving opportunities to stay relevant with the latest technologies and learning from experts worldwide
Interact directly with internal and external clients to represent Modus and its values

Why Modus Create:
Our Benefits may vary according to the Country you are located in, so please reach out to our recruiter in case you have any questions.
If you become a contractor we offer:

Competitive compensation
100% Remote work (could vary according to the client's needs)
Travel according to client's needs
The chance to work side-by-side with thought leaders in emerging tech

Do you have what it takes? Apply today!  
About Modus
Modus Create is a digital product agency that accelerates digital transformation. We use high performing small teams, emerging technology, and “new school” product development tools and methods to accelerate business outcomes. We support our clients across four core delivery areas: business and product strategy consulting, customer experience, cloud services, and Agile software delivery. 
Driven by a team of world-class talent, we have been recognized by the Inc. 5000 list of fastest growing private companies 5 years in a row, the Washington Business Journal list of Fastest Growing Companies in the Washington, DC area two years in a row, and a top company for remote work by FlexJobs. We’re also an official partner to Atlassian, AWS, Cloudflare, GitHub, InVision, Ionic Framework, and Vue.js!
Based on the model of an open source team, Modites work remotely, and are located across the globe. That’s allowed us to hire the best talent in the world, no matter where they live. Our highly collaborative, autonomous, and effective working environment is fueled by a team unified by a love of continuous learning. Our years of thought leadership including books, whitepapers, blog posts, conference and MeetUp talks, demonstrate our commitment to sharing what we’ve learned. 
We encourage every Modus employee to do the same. Our company is a platform for the growth of our employees. Through working with our distributed team of experts on challenging projects, every person that joins the Modus team can expect to continue growing and learning every day. This is your chance to be part of building something great. "
2020-07-14,"['node.js', 'javascript', 'ethereum', 'solidity', 'mocha']","Ethereum Smart Contract Developer, Part-Time Contractor (20 hrs / wk)",Upstate Interactive,Contract,"Student, Junior",Not mentioned,"B2B, Finance, Retail",1–10 people,Private,https://www.learningdollars.com/client/select_engineers/?crid=2230,"
We are looking for a motivated student / junior level software engineer - who has a basic understanding of how blockchains and smart contracts work - to help us build custom Ethereum smart contracts. We will train you if you do not already have Ethereum smart contract experience. This is a part-time contracting position. Remote is totally fine.
At Upstate Interactive we provide a remote-first work-environment. We are a team of engineers located from New York to California whose highest aim is to write code that makes our clients lives easier. As a contractor with us, you will be working alongside our team and the client’s team to deliver on the requirements of the project.
WHAT WE ARE LOOKING FOR:

Experience with object-oriented programming
Experience with NodeJS/Express
Experience with Front-end frameworks, preferably Angular
High-level understanding of how Blockchains work, especially Ethereum
Familiarity with cryptography and experience with Public Key Infrastructure (PKI)
Experience with agile and test driven development
Interest in blockchain and enthusiasm for working in a relatively new space

NICE TO HAVE:

Knowledge of Web3 and Ethereum development tools (Truffle in particular)
Familiar with developing Ethereum smart contracts written in Solidity
Familiarity with and experience working with OpenZeppelin 
Familiarity with decentralized finance, upgradeable smart contracts, proxy patterns, and experience working with ZeppelinOS
Experience with the Mocha JavaScript test framework and Chai’s assertion library
 "
2020-06-30,"['sql', 'testing', 'automated-tests', 'sysadmin']",Software Engineer -- Student Registration Software,DIGARC,Contract,"Mid-Level, Senior","QA/Test Developer, System Administrator","Enterprise Software, Higher Education",51–200 people,Private,https://www.learningdollars.com/client/select_engineers/?crid=544,"
Software Engineer                                    
 Work Location:  Remote
Summary
We are looking for a 6-month contract ($40-$45/hour) software developer to work remotely in collaboration with our highly experienced team of developers. Candidates must be highly motivated team players with excellent communication skills, who thrive in an inventive and dynamic environment. If you’re creative, ambitious, and always looking for new ways to innovate, we’d like to talk to you. We need your expertise and passion to help us build and integrate our next generation of software.
 Essential Duties and Responsibilities:

Design, code, and document software solutions to fulfill client requirements
Design, prototype, and implement user-friendly web-based user interfaces
Test, code and perform unit test plans
Integrate software with 3rd party applications
Participate and assist in application architecture functions
Engage with Director, Software Engineering about code, process and challenges

Required Competencies: 

Java Programming (including Spring)
HTML / CSS, JavaScript (including jQuery)
Web Services (Servlets, SOAP/REST, JSON, XML)
SQL (e.g. MySQL, Oracle SQL)
Apache HTTPD, Tomcat
Eclipse IDE
Windows / Linux (Redhat, Ubuntu)
Strong communication skills (written and spoken)
Self-motivated, creative, positive
Aptitude for constantly learning new technologies, highly desired

 Desired Competencies:

Git, Maven
Single-Sign-On (SSO)
DNS Configuration, Domain Certificate Installation
Build and Deployment Automation (e.g. Ansible, Vagrant)
Web Security knowledge and techniques
Load Balancing
Adobe PhotoShop

 Education and Experience: 

B.S. in Computer Science, Information Systems or related Engineering degree, or equivalent experience
2+ years of experience debugging and problem solving with large, complex web-based applications
5+ years with enterprise software development, maintenance and process
Exposure to Agile process, especially Scrum and Scrumban
Exposure to testing frameworks and unit testing

Perks:

Fast-paced, supportive learning and work environment
Small tight-knit top performing team; high level of communication with all members and departments
Hands-on training, mentorship, and collaboration with highly experienced developers
Ability to see your work in motion, making a tangible difference for thousands of users

Physical Demands and Work Environment: 
The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job.  Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.  
All DIGARC employees are expected to display unquestionable integrity in every aspect of work and dealing with others.  Respect for diversity and inclusion of all individuals is imperative to our business success and required. "
2020-07-01,"['google-apps-script', 'javascript', 'gsuite-addons', 'git', 'google-api']",Google Apps Script Developer,UNOPS,Contract,"Junior, Mid-Level",Not mentioned,"Government, Public Affairs",10k+ people,Public,https://www.learningdollars.com/client/select_engineers/?crid=1985,"
 Background information - ICT

The UNOPS Information and Communication Technology (ICT) unit is focused innovation and harnessing cutting-edge technology to deliver solutions to UNOPS that truly address business needs.  
Working with UNOPS ICT is a unique opportunity to deliver systems to users around the world - making an impact on development and solving practical problems for the UNOPS workforce and thereby help people build better lives and countries achieve peace and sustainable development.
ICT’s goal is to provide greater effectiveness, efficiency and differentiation to UNOPS products and services. UNOPS ICT unit is responsible for architecting, designing, delivering, and managing all UNOPS ICT infrastructure and business applications. The unit includes Enterprise Architects, Business Analysts, Solutions Designers and Developers from all around the world who are based primarily in Denmark and Thailand.
 Functional Responsibilities

In 2018, UNOPS initiated a digital shift from Microsoft based products to Google Suite. Starting in January 2020, the entire organization has operated a progressive shift to G-suite. The main G-suite features used by UNOPS are Gmail, Calendar, Google Drive/Docs/Sheets/Slides, Forms, Google+/Currents, Chat, Meet and Data Studio. 
We are looking for a Google Apps Script developer, with experience in web development related to Google Suite to provide technical solutions in order to facilitate the transition and adaptation from Microsoft to Google Suite. The developer will work with various business units on a variety of business needs. 
To excel in this position, you should demonstrate a service-minded approach, possess good communication skills, good IT understanding, have the ability to learn, and be a good team player.
Under the supervision of the Enterprise Architect, Software, and in close coordination with the rest of the ICT team, your functions, among others, will be:
1. Develop business applications



Receive technical and business requirements from ICT


Advise ICT on the recommended implementation for specific business needs / scenarios.


Design and develop robust technical solutions leveraging Google products in line with technical requirements.



2. Perform technical review and testing of code for business applications



Undertake unit and other forms of technical testing of developed applications, ensuring that the applications work as intended and making sure the applications are optimized in terms of performance and usability. Suggest new approaches and/or tools that may be used to improve testing.


Perform technical testing of existing and new functionality of developed applications and when upgrades / patches are applied.


Assist the Testing and Quality Assurance team in troubleshooting anomalies, understanding impacts and identifying solutions to bugs or gaps in functionality.


Adequately document all work activities, including code specifications and test plans.



3. Embed relevant knowledge management and innovation within the ICT Development function


Contribute ideas, concerns and suggested approaches during technical design sessions with other ICT developers.


Contribute to the specification of applications, ensuring high graphical and UX standards are met and brand consistency is adhered to as specified by the ICT Enterprise Architecture and Platforms team.


Contribute through evidence-based opinions during UX design sessions with other developers and provide feedback to the ICT Enterprise Architecture and Platforms team on established design standards.


Stay up to date with emerging technologies and where appropriate, advocate for their consideration.


Advocate for the development of new, innovative concepts that could be implemented in addition to or as a replacement for existing solutions.


 Education/Experience/Language requirementsEducation:


Master’s Degree, preferably in Computer Science, Information Technology, Information Systems or other relevant discipline is required.


A Bachelor’s degree in combination with additional two years of experience may be accepted in lieu of a master's degree.


Secondary education in combination with additional six years of experience may be accepted in lieu of a master's degree


Experience:

Minimum 3 year of Javascript experience is required. 
Minimum 1 year of Google Apps Script experience
Minimum of 1 year of experience with building G Suite Add ons for Docs, Sheets, Slides
Strong experience in web development and experience using various types of web APIs.
Experience with source control (GIT) and the ability to think and work structured with regards to best-practice version handling and deployment strategies.
Strong knowledge of Google G Suite APIs is required (Drive, Sheets, Docs, Admin, Gmail, Directory, etc.).
Knowledge and experience with other GCP APIs is highly desired.
Proficient in advanced use of G Suite products (Docs, Slides, Forms and especially Google Sheets)
Experience with SQL and data queries in general is required.
Ability to work independently in a dynamic environment where you are the subject matter expert
Ability to multitask in a fast paced environment with minimal direction and oversight.
Good understanding of authentication- and authorization protocols and flows (SAML, IAM, Identity Platform, OAuth, OpenID Connect, Service Account- and key management, etc.) is desired. 
Understanding of Big Query and Data Studio, including corresponding API is highly beneficial.

Language requirements:

Full working knowledge of English is essential.
 "
2020-07-24,"['asp.net', 'asp.net-web-api']",Senior ASP.NET Developer,AppEvolve,Contract,Senior,Not mentioned,"SaaS, Software Development, Web Development",11–50 people,Private,https://www.learningdollars.com/client/select_engineers/?crid=1351,"
Job description
We have active software projects and looking for 1 Senior-Level ASP.NET Developer to help us deliver a successful product. About UsWe're a US-based software agency that solves our clients' toughest challenges by providing unmatched services in custom software development, consulting and support. We partner with medium to large businesses, including Fortune 500 companies, to deliver transformational outcomes for a demanding new digital world. Who We Are Looking For (Senior ASP.NET Developer)If you're a .NET developer who loves to stay focused on coding without worrying about collecting requirements, dealing with clients directly, and working with a professional, organized team...get in touch! We seek a long-term partnership with someone who can work well with a distributed team, has great work ethic, open communication, and isn't afraid to contribute input if they see a better way to do things. And we'll do our part by providing you with exciting, challenging applications. What We Provide You WithWe help and support you by providing the following for any project you work on:DocumentationFull RequirementsWireframesFront-End TeamBack-End LeadTools We UseAtlassian (Jira, Bitbucket & Confluence)SlackAWSInterview ProcessUpon acceptance of your proposal, we will follow-up to schedule a technical interview. The process would be the following:Video Chat using Zoom (we will send an invitation link)Brief Interview QuestionsScreen share so you can walk us through recent projects and your development processesLast, we will follow-up by sending a quick online coding test.If you feel this would be a great opportunity for you, please take the time to write us a thoughtful reply. Please put the words ""serious applicant"" at the beginning of your reply, so we know you read this entire job post thoroughly. Thank you and looking forward to hearing from you! "
